

Hipparcos Constellation Membership

Hipparcos Number,Constellation
HIP 60988,CVn
HIP 60992,UMa
HIP 60994,
HIP 60998,Dra
HIP 61071,Com
HIP 61084,Cru
HIP 61136,Cru
HIP 61174,Crv
HIP 61177,
HIP 61199,Mus
HIP 61246,Vir
HIP 61281,Dra
HIP 61295,Com
HIP 61317,CVn
HIP 61318,Vir
HIP 61320,
HIP 61359,Crv
HIP 61384,Dra
HIP 61394,Com
HIP 61404,Mus
HIP 61415,Com
HIP 61418,Com
HIP 61496,Crv
HIP 61558,Vir
HIP 61571,Com
HIP 61585,Mus
HIP 61597,
HIP 61622,Cen
HIP 61658,Vir
HIP 61692,CVn
HIP 61724,Com
HIP 61740,Vir
HIP 61748,CVn
HIP 61789,Cen
HIP 61796,Mus
HIP 61910,Crv
HIP 61932,Cen
HIP 61936,UMa
HIP 61937,Vir
HIP 61941,Vir
HIP 61960,Vir
HIP 61966,Cru
HIP 61968,Vir
HIP 61969,Vir
HIP 61981,Mus
HIP 62012,Cen
HIP 62027,Cru
HIP 62207,CVn
HIP 62223,CVn
HIP 62267,Vir
HIP 62268,Cru
HIP 62322,Mus
HIP 62325,Vir
HIP 62345,
HIP 62356,Com
HIP 62376,Vir
HIP 62394,Vir
HIP 62423,Dra
HIP 62434,Cru
HIP 62443,Vir
HIP 62478,Com
HIP 62512,
HIP 62516,CVn
HIP 62523,Com
HIP 62541,Com
HIP 62576,Com
HIP 62611,Crv
HIP 62641,CVn
HIP 62683,Cen
HIP 62732,Cru
HIP 62757,Vir
HIP 62763,Com
HIP 62773,Cen
HIP 62788,Hya
HIP 62807,Com
HIP 62867,Cen
HIP 62875,Vir
HIP 62886,Com
HIP 62896,Cen
HIP 62913,Cru
HIP 62931,Cru
HIP 62933,Vir
HIP 62956,UMa
HIP 62985,Vir
HIP 62986,Cru
HIP 63003,Cru
HIP 63005,Cru
HIP 63007,Cru
HIP 63024,CVn
HIP 63031,Oct
HIP 63033,
HIP 63076,Dra
HIP 63090,Vir
HIP 63121,CVn
HIP 63125,CVn
HIP 63152,Dra
HIP 63159,Hya
HIP 63204,Cen
HIP 63210,Cen
HIP 63355,Com
HIP 63414,Vir
HIP 63432,Dra
HIP 63462,Com
HIP 63494,Vir
HIP 63503,UMa
HIP 63533,Com
HIP 63608,Vir
HIP 63613,Mus
HIP 63724,Cen
HIP 63738,
HIP 63750,Vir
HIP 63820,Cen
HIP 63849,Cen
HIP 63883,Cen
HIP 63901,CVn
HIP 63945,Cen
HIP 63948,Com
HIP 63950,Com
HIP 63951,Com
HIP 64004,Cen
HIP 64022,Com
HIP 64078,Vir
HIP 64094,Mus
HIP 64122,Vir
HIP 64150,
HIP 64166,Hya
HIP 64217,CVn
HIP 64224,Vir
HIP 64238,Vir
HIP 64241,Com
HIP 64246,CVn
HIP 64320,Cen
HIP 64394,Com
HIP 64407,Vir
HIP 64408,
HIP 64425,Cen
HIP 64520,Vir
HIP 64532,
HIP 64577,Vir
HIP 64583,
HIP 64607,Vir
HIP 64625,Vir
HIP 64661,Mus
HIP 64692,CVn
HIP 64725,Vir
HIP 64769,Vir
HIP 64792,Vir
HIP 64797,
HIP 64803,Cen
HIP 64834,Vir
HIP 64844,CVn
HIP 64852,Vir
HIP 64906,CVn
HIP 64924,Vir
HIP 64962,Hya
HIP 65072,CVn
HIP 65074,Vir
HIP 65109,Cen
HIP 65112,Cen
HIP 65241,Vir
HIP 65271,Cen
HIP 65301,Vir
HIP 65309,CVn
HIP 65323,Vir
HIP 65376,CVn
HIP 65378,UMa
HIP 65387,Cen
HIP 65420,Vir
HIP 65468,Mus
HIP 65474,Vir
HIP 65477,UMa
HIP 65530,
HIP 65581,Vir
HIP 65628,Mus
HIP 65639,Vir
HIP 65721,Vir
HIP 65755,Mus
HIP 65790,Vir
HIP 65810,Cen
HIP 65835,Hya
HIP 65839,Vir
HIP 65892,Vir
HIP 65936,Cen
HIP 65970,Cen
HIP 66006,Vir
HIP 66015,Vir
HIP 66047,
HIP 66091,Vir
HIP 66098,Vir
HIP 66121,Cha
HIP 66192,
HIP 66198,UMa
HIP 66200,Vir
HIP 66234,CVn
HIP 66247,Vir
HIP 66249,Vir
HIP 66257,CVn
HIP 66320,Vir
HIP 66345,Vir
HIP 66458,CVn
HIP 66607,Cha
HIP 66634,UMa
HIP 66645,Cen
HIP 66657,Cen
HIP 66666,Cen
HIP 66700,UMa
HIP 66704,
HIP 66727,Boo
HIP 66738,UMa
HIP 66753,Oct
HIP 66763,Boo
HIP 66765,
HIP 66803,Vir
HIP 66821,Cen
HIP 66825,Cen
HIP 66936,Vir
HIP 67036,Cen
HIP 67057,Vir
HIP 67139,Vir
HIP 67153,Cen
HIP 67172,Vir
HIP 67231,UMa
HIP 67234,Cen
HIP 67239,Boo
HIP 67244,Cen
HIP 67261,Cen
HIP 67275,Boo
HIP 67288,Vir
HIP 67301,UMa
HIP 67408,
HIP 67457,Cen
HIP 67459,Boo
HIP 67464,Cen
HIP 67472,Cen
HIP 67480,Boo
HIP 67481,Boo
HIP 67494,Vir
HIP 67620,
HIP 67627,Dra
HIP 67665,CVn
HIP 67669,Cen
HIP 67703,Cen
HIP 67744,Vir
HIP 67786,Cen
HIP 67787,Boo
HIP 67799,UMa
HIP 67803,CVn
HIP 67819,Cen
HIP 67848,UMa
HIP 67861,Cen
HIP 67927,Boo
HIP 67929,Vir
HIP 68002,Cen
HIP 68019,Cen
HIP 68064,Boo
HIP 68092,Vir
HIP 68101,
HIP 68103,Boo
HIP 68245,Cen
HIP 68269,Hya
HIP 68276,Boo
HIP 68282,Cen
HIP 68390,Hya
HIP 68478,Boo
HIP 68520,Vir
HIP 68523,Cen
HIP 68673,Cen
HIP 68682,
HIP 68702,Cen
HIP 68756,Dra
HIP 68815,Aps
HIP 68842,Cen
HIP 68862,Cen
HIP 68888,Vir
HIP 68895,Hya
HIP 68913,Boo
HIP 68933,Cen
HIP 68937,Vir
HIP 68940,Vir
HIP 68956,UMi
HIP 69038,Boo
HIP 69068,Boo
HIP 69090,
HIP 69112,UMi
HIP 69122,Cen
HIP 69127,Vir
HIP 69174,Cen
HIP 69226,Boo
HIP 69269,Vir
HIP 69389,Vir
HIP 69415,Hya
HIP 69427,Vir
HIP 69449,Vir
HIP 69481,Boo
HIP 69483,Boo
HIP 69491,Cen
HIP 69536,Boo
HIP 69612,Boo
HIP 69614,Vir
HIP 69618,Cen
HIP 69619,
HIP 69671,
HIP 69673,Boo
HIP 69701,Vir
HIP 69713,Boo
HIP 69732,Boo
HIP 69828,Vir
HIP 69829,Boo
HIP 69879,Boo
HIP 69881,
HIP 69896,Aps
HIP 69929,Vir
HIP 69965,
HIP 69972,
HIP 69974,Vir
HIP 69989,Boo
HIP 69996,Lup
HIP 70012,Vir
HIP 70027,Boo
HIP 70069,Cen
HIP 70090,Cen
HIP 70236,Boo
HIP 70248,Aps
HIP 70270,Lup
HIP 70300,Cen
HIP 70306,Hya
HIP 70319,
HIP 70336,Lib
HIP 70346,Cir
HIP 70497,Boo
HIP 70574,Lup
HIP 70576,Lup
HIP 70602,Boo
HIP 70638,Oct
HIP 70680,Vir
HIP 70692,UMi
HIP 70753,Hya
HIP 70755,Vir
HIP 70791,Boo
HIP 70794,Vir
HIP 70800,Boo
HIP 70816,Vir
HIP 70857,
HIP 70873,
HIP 70890,
HIP 70904,Cen
HIP 70945,Lib
HIP 71040,Dra
HIP 71053,Boo
HIP 71075,Boo
HIP 71115,Boo
HIP 71116,Cen
HIP 71121,Lup
HIP 71168,Boo
HIP 71280,Boo
HIP 71284,Boo
HIP 71348,Oct
HIP 71352,Cen
HIP 71500,Lup
HIP 71530,
HIP 71536,Lup
HIP 71571,
HIP 71618,Boo
HIP 71668,Cir
HIP 71681,Cen
HIP 71683,Cen
HIP 71762,Boo
HIP 71795,Boo
HIP 71832,Boo
HIP 71837,Boo
HIP 71855,
HIP 71860,Lup
HIP 71865,Cen
HIP 71876,Dra
HIP 71908,Cir
HIP 71957,Vir
HIP 71974,Lib
HIP 71995,Boo
HIP 72010,Cen
HIP 72104,Cen
HIP 72105,Boo
HIP 72121,Cir
HIP 72125,Boo
HIP 72154,Vir
HIP 72194,Lib
HIP 72197,Hya
HIP 72208,Boo
HIP 72220,Vir
HIP 72290,Lup
HIP 72323,Hya
HIP 72339,
HIP 72357,Hya
HIP 72370,Aps
HIP 72378,Hya
HIP 72432,Cen
HIP 72438,Cir
HIP 72487,Boo
HIP 72489,Lib
HIP 72524,Boo
HIP 72567,Boo
HIP 72571,Hya
HIP 72573,
HIP 72603,Lib
HIP 72607,UMi
HIP 72622,Lib
HIP 72631,Lib
HIP 72659,Boo
HIP 72683,Lup
HIP 72773,Cir
HIP 72800,Cen
HIP 72845,
HIP 72848,Boo
HIP 72929,Lib
HIP 72934,Lib
HIP 72965,Cir
HIP 72992,UMi
HIP 73095,Lup
HIP 73100,
HIP 73129,Cir
HIP 73133,Lib
HIP 73136,UMi
HIP 73165,Lib
HIP 73184,Lib
HIP 73193,Ser
HIP 73199,UMi
HIP 73223,Aps
HIP 73241,
HIP 73249,Lib
HIP 73273,Lup
HIP 73284,Hya
HIP 73310,Lib
HIP 73334,Cen
HIP 73369,Boo
HIP 73440,UMi
HIP 73454,Boo
HIP 73473,Lib
HIP 73483,Cir
HIP 73536,Ser
HIP 73540,Oct
HIP 73555,Boo
HIP 73566,Hya
HIP 73568,Boo
HIP 73589,Boo
HIP 73620,Vir
HIP 73695,Boo
HIP 73714,Lib
HIP 73745,Boo
HIP 73771,Oct
HIP 73776,Cir
HIP 73807,Lup
HIP 73841,Boo
HIP 73937,Lup
HIP 73945,Lib
HIP 73953,Lib
HIP 73996,Boo
HIP 74066,Lup
HIP 74087,Boo
HIP 74117,Lup
HIP 74147,Cir
HIP 74192,TrA
HIP 74253,Boo
HIP 74296,Oct
HIP 74376,Lup
HIP 74380,Lup
HIP 74386,Ser
HIP 74392,Lib
HIP 74395,Lup
HIP 74432,274
HIP 74449,Lup
HIP 74493,Lib
HIP 74500,Lib
HIP 74537,
HIP 74582,TrA
HIP 74596,Boo
HIP 74600,Lib
HIP 74604,Lup
HIP 74605,
HIP 74649,Ser
HIP 74666,Boo
HIP 74689,Ser
HIP 74778,Cir
HIP 74785,Lib
HIP 74793,UMi
HIP 74824,Cir
HIP 74837,Cir
HIP 74857,Lup
HIP 74911,Lup
HIP 74946,TrA
HIP 74950,Lup
HIP 74961,
HIP 74975,Ser
HIP 74982,Lib
HIP 74999,Aps
HIP 75018,TrA
HIP 75049,CrB
HIP 75097,UMi
HIP 75110,Lib
HIP 75118,Lib
HIP 75119,Ser
HIP 75141,Lup
HIP 75177,Lup
HIP 75178,Boo
HIP 75181,Lup
HIP 75206,Lup
HIP 75230,Ser
HIP 75264,Lup
HIP 75294,Lib
HIP 75304,Lup
HIP 75312,CrB
HIP 75323,Cir
HIP 75342,Ser
HIP 75379,Lib
HIP 75411,Boo
HIP 75415,Boo
HIP 75439,Lup
HIP 75458,Dra
HIP 75501,Lup
HIP 75530,Ser
HIP 75584,Ser
HIP 75665,TrA
HIP 75695,CrB
HIP 75718,
HIP 75727,Lup
HIP 75730,Lib
HIP 75736,Oct
HIP 75761,Ser
HIP 75809,UMi
HIP 75848,Lib
HIP 75944,Lib
HIP 75973,Boo
HIP 76008,UMi
HIP 76011,Aps
HIP 76013,Aps
HIP 76041,Boo
HIP 76069,Ser
HIP 76075,Lib
HIP 76126,Lib
HIP 76127,CrB
HIP 76133,Ser
HIP 76219,Lib
HIP 76259,Lib
HIP 76267,CrB
HIP 76276,Ser
HIP 76297,Lup
HIP 76307,CrB
HIP 76333,Lib
HIP 76337,Ser
HIP 76351,
HIP 76371,Lup
HIP 76382,
HIP 76423,Ser
HIP 76424,Ser
HIP 76425,Ser
HIP 76427,Ser
HIP 76440,TrA
HIP 76470,Lib
HIP 76534,Boo
HIP 76552,Lup
HIP 76573,Ser
HIP 76600,Lib
HIP 76628,Lib
HIP 76669,CrB
HIP 76695,UMi
HIP 76705,Lup
HIP 76742,Lib
HIP 76750,Aps
HIP 76810,Ser
HIP 76829,Lup
HIP 76852,Ser
HIP 76866,Ser
HIP 76878,Ser
HIP 76880,Lib
HIP 76939,Lup
HIP 76945,Lup
HIP 76952,CrB
HIP 76957,Boo
HIP 76996,Oct
HIP 77048,CrB
HIP 77052,Ser
HIP 77055,UMi
HIP 77060,Lib
HIP 77070,Ser
HIP 77111,Ser
HIP 77227,Ser
HIP 77233,Ser
HIP 77257,Ser
HIP 77336,Ser
HIP 77358,
HIP 77442,CrB
HIP 77450,Ser
HIP 77464,Ser
HIP 77512,CrB
HIP 77516,Ser
HIP 77578,Ser
HIP 77622,Ser
HIP 77634,Lup
HIP 77635,Sco
HIP 77645,Nor
HIP 77655,CrB
HIP 77660,Ser
HIP 77661,Ser
HIP 77760,Her
HIP 77801,Ser
HIP 77811,Lib
HIP 77840,Sco
HIP 77853,Lib
HIP 77859,Sco
HIP 77902,Ser
HIP 77907,Her
HIP 77909,Sco
HIP 77910,Ser
HIP 77939,Lib
HIP 77952,TrA
HIP 77982,TrA
HIP 77984,Sco
HIP 77986,Her
HIP 78012,CrB
HIP 78072,Ser
HIP 78078,Lib
HIP 78104,Sco
HIP 78105,Lup
HIP 78106,Lup
HIP 78132,Ser
HIP 78159,CrB
HIP 78180,Dra
HIP 78183,Sco
HIP 78207,Lib
HIP 78246,Sco
HIP 78265,Sco
HIP 78322,
HIP 78384,Lup
HIP 78400,Lib
HIP 78401,Sco
HIP 78435,Lup
HIP 78436,Lib
HIP 78459,CrB
HIP 78476,TrA
HIP 78481,Her
HIP 78493,CrB
HIP 78527,Dra
HIP 78554,Ser
HIP 78592,Her
HIP 78639,Nor
HIP 78661,UMi
HIP 78662,Nor
HIP 78685,Ser
HIP 78727,
HIP 78731,Nor
HIP 78775,
HIP 78820,Sco
HIP 78821,Sco
HIP 78877,Sco
HIP 78914,Nor
HIP 78918,Lup
HIP 78933,Sco
HIP 78990,Sco
HIP 79005,Sco
HIP 79007,Ser
HIP 79043,Her
HIP 79045,Her
HIP 79047,Ser
HIP 79055,Nor
HIP 79072,Ser
HIP 79079,TrA
HIP 79080,Sco
HIP 79081,Sco
HIP 79086,Ser
HIP 79101,Her
HIP 79102,Her
HIP 79119,CrB
HIP 79153,Nor
HIP 79219,
HIP 79235,Sco
HIP 79248,Her
HIP 79280,UMi
HIP 79332,Her
HIP 79349,Her
HIP 79374,Sco
HIP 79375,Sco
HIP 79387,Sco
HIP 79399,Sco
HIP 79404,Sco
HIP 79420,UMi
HIP 79431,
HIP 79488,Her
HIP 79490,Nor
HIP 79492,Ser
HIP 79497,Nor
HIP 79509,Nor
HIP 79524,
HIP 79530,Sco
HIP 79540,Sco
HIP 79593,Oph
HIP 79607,CrB
HIP 79653,Nor
HIP 79664,TrA
HIP 79666,Her
HIP 79672,Sco
HIP 79754,Nor
HIP 79757,CrB
HIP 79790,Nor
HIP 79804,Dra
HIP 79822,UMi
HIP 79881,Sco
HIP 79882,Oph
HIP 79889,Her
HIP 79932,Nor
HIP 79963,Nor
HIP 79992,Her
HIP 80000,Nor
HIP 80008,
HIP 80047,Aps
HIP 80057,Aps
HIP 80060,Sco
HIP 80076,
HIP 80079,Sco
HIP 80112,Sco
HIP 80170,Her
HIP 80179,Ser
HIP 80181,CrB
HIP 80197,CrB
HIP 80214,CrB
HIP 80247,Her
HIP 80331,Dra
HIP 80337,
HIP 80343,Oph
HIP 80351,Her
HIP 80375,Dra
HIP 80460,Her
HIP 80463,Her
HIP 80473,Oph
HIP 80548,Her
HIP 80569,Oph
HIP 80582,Nor
HIP 80620,Oph
HIP 80628,Oph
HIP 80645,TrA
HIP 80650,Dra
HIP 80686,TrA
HIP 80687,
HIP 80704,Her
HIP 80725,
HIP 80763,Sco
HIP 80782,Nor
HIP 80788,Nor
HIP 80809,Her
HIP 80815,Sco
HIP 80816,Her
HIP 80838,
HIP 80843,Her
HIP 80883,Oph
HIP 80894,Oph
HIP 80911,Sco
HIP 80945,Sco
HIP 80975,Oph
HIP 81007,Her
HIP 81008,Her
HIP 81022,
HIP 81065,Aps
HIP 81066,Her
HIP 81122,Nor
HIP 81126,Her
HIP 81252,TrA
HIP 81266,Sco
HIP 81290,Dra
HIP 81292,Dra
HIP 81300,Oph
HIP 81304,Sco
HIP 81305,Sco
HIP 81337,Her
HIP 81376,Ara
HIP 81377,Oph
HIP 81428,
HIP 81472,Sco
HIP 81477,Sco
HIP 81497,Her
HIP 81589,Ara
HIP 81634,Her
HIP 81641,Her
HIP 81650,Ara
HIP 81660,Dra
HIP 81693,Her
HIP 81710,TrA
HIP 81724,Sco
HIP 81729,Her
HIP 81734,Oph
HIP 81833,Her
HIP 81852,Aps
HIP 81991,Her
HIP 82011,Oph
HIP 82020,
HIP 82037,Oph
HIP 82073,Her
HIP 82080,UMi
HIP 82129,TrA
HIP 82140,Sco
HIP 82162,Oph
HIP 82172,Her
HIP 82216,Her
HIP 82273,TrA
HIP 82321,Her
HIP 82324,Her
HIP 82339,Oph
HIP 82363,Ara
HIP 82369,Oph
HIP 82396,Sco
HIP 82402,Her
HIP 82422,Her
HIP 82480,Oph
HIP 82493,Sco
HIP 82504,Her
HIP 82514,Sco
HIP 82526,Her
HIP 82543,Sco
HIP 82545,Sco
HIP 82554,Sco
HIP 82587,Her
HIP 82588,Oph
HIP 82651,
HIP 82669,Sco
HIP 82671,Sco
HIP 82673,Oph
HIP 82691,Sco
HIP 82693,Oph
HIP 82729,Sco
HIP 82730,Oph
HIP 82780,Her
HIP 82798,Her
HIP 82802,Her
HIP 82860,Dra
HIP 82868,Ara
HIP 82898,Dra
HIP 82911,Sco
HIP 82912,Sco
HIP 82925,Oph
HIP 82960,Sco
HIP 82985,Ara
HIP 82987,Her
HIP 83000,Oph
HIP 83014,Sco
HIP 83081,Ara
HIP 83150,TrA
HIP 83153,Ara
HIP 83196,Oph
HIP 83207,Her
HIP 83255,Oct
HIP 83262,Oph
HIP 83308,Her
HIP 83313,Her
HIP 83317,UMi
HIP 83323,Ara
HIP 83331,Oph
HIP 83389,148
HIP 83430,Oph
HIP 83431,Ara
HIP 83462,Her
HIP 83491,Sco
HIP 83499,Sco
HIP 83541,
HIP 83547,
HIP 83574,Sco
HIP 83601,Oph
HIP 83608,Dra
HIP 83613,Her
HIP 83706,Sco
HIP 83802,Ara
HIP 83838,Her
HIP 83895,Dra
HIP 84012,Oph
HIP 84054,Her
HIP 84062,
HIP 84105,Ara
HIP 84143,Sco
HIP 84177,Oph
HIP 84311,Ara
HIP 84332,Sco
HIP 84345,Her
HIP 84379,Her
HIP 84380,Her
HIP 84401,Sco
HIP 84405,Oph
HIP 84409,Sco
HIP 84478,Oph
HIP 84479,Oph
HIP 84483,Sco
HIP 84496,Dra
HIP 84500,Oph
HIP 84514,Oph
HIP 84535,UMi
HIP 84573,Her
HIP 84586,Ara
HIP 84606,Her
HIP 84625,Oph
HIP 84626,Oph
HIP 84636,
HIP 84650,Sco
HIP 84671,Oph
HIP 84704,Oph
HIP 84709,482
HIP 84720,372
HIP 84780,Oph
HIP 84787,
HIP 84801,
HIP 84833,Her
HIP 84835,Her
HIP 84862,Her
HIP 84880,Ser
HIP 84887,Her
HIP 84893,Oph
HIP 84949,Her
HIP 84969,Aps
HIP 84970,Oph
HIP 84979,Aps
HIP 84988,
HIP 85020,Sco
HIP 85035,Sco
HIP 85079,Ara
HIP 85084,Oph
HIP 85112,Her
HIP 85157,Her
HIP 85235,
HIP 85258,Ara
HIP 85267,Ara
HIP 85302,Her
HIP 85312,Ara
HIP 85340,Oph
HIP 85355,Oph
HIP 85365,Oph
HIP 85379,Her
HIP 85423,Oph
HIP 85450,Oph
HIP 85467,Ara
HIP 85569,Sco
HIP 85667,
HIP 85670,Dra
HIP 85693,Her
HIP 85696,Sco
HIP 85699,UMi
HIP 85727,Ara
HIP 85751,Ara
HIP 85755,Oph
HIP 85760,Aps
HIP 85790,Her
HIP 85792,Ara
HIP 85805,Dra
HIP 85810,
HIP 85819,Dra
HIP 85822,UMi
HIP 85829,Dra
HIP 85839,Sco
HIP 85840,Her
HIP 85852,Dra
HIP 85895,Ara
HIP 85927,Sco
HIP 85934,Her
HIP 85998,Oph
HIP 86011,Sco
HIP 86032,Oph
HIP 86036,Dra
HIP 86060,Oph
HIP 86092,Ara
HIP 86170,Sco
HIP 86182,Her
HIP 86201,Dra
HIP 86228,Sco
HIP 86254,Her
HIP 86263,Ser
HIP 86284,Oph
HIP 86286,
HIP 86305,Ara
HIP 86400,
HIP 86414,Her
HIP 86468,Sco
HIP 86486,Ara
HIP 86527,Sco
HIP 86565,Ser
HIP 86614,Dra
HIP 86620,Dra
HIP 86624,Sco
HIP 86628,Ara
HIP 86667,Her
HIP 86670,Sco
HIP 86731,Her
HIP 86736,Oph
HIP 86742,Oph
HIP 86751,Sco
HIP 86777,
HIP 86782,
HIP 86796,Ara
HIP 86809,Her
HIP 86831,Oph
HIP 86929,Pav
HIP 86946,Her
HIP 86974,Her
HIP 87043,Pav
HIP 87072,Sgr
HIP 87073,Sco
HIP 87108,Oph
HIP 87163,Sgr
HIP 87194,Her
HIP 87212,Dra
HIP 87234,Dra
HIP 87261,Sco
HIP 87280,Her
HIP 87294,Sco
HIP 87314,Ara
HIP 87379,Ara
HIP 87460,Sco
HIP 87495,Oph
HIP 87560,Sco
HIP 87563,Her
HIP 87585,Dra
HIP 87616,Sco
HIP 87624,Sco
HIP 87655,Oph
HIP 87706,Oph
HIP 87728,Dra
HIP 87747,Her
HIP 87808,Her
HIP 87810,Sco
HIP 87812,Oph
HIP 87822,
HIP 87833,Dra
HIP 87850,Her
HIP 87886,Sco
HIP 87895,
HIP 87933,Her
HIP 87937,
HIP 87998,Her
HIP 88030,Her
HIP 88048,Oph
HIP 88069,Sgr
HIP 88116,Sgr
HIP 88127,Dra
HIP 88128,Her
HIP 88132,Oph
HIP 88136,Dra
HIP 88148,Oph
HIP 88149,Oph
HIP 88175,Ser
HIP 88192,Oph
HIP 88258,Sgr
HIP 88267,Her
HIP 88290,Oph
HIP 88331,Her
HIP 88346,Her
HIP 88380,Sgr
HIP 88404,Oph
HIP 88414,
HIP 88469,Sgr
HIP 88522,Oph
HIP 88528,Her
HIP 88567,Sgr
HIP 88601,Oph
HIP 88622,
HIP 88635,Sgr
HIP 88657,Her
HIP 88694,
HIP 88714,Ara
HIP 88745,Her
HIP 88765,Oph
HIP 88771,Oph
HIP 88794,Her
HIP 88817,Her
HIP 88818,Her
HIP 88866,Pav
HIP 88876,Sgr
HIP 88886,Her
HIP 88899,Her
HIP 88905,Sgr
HIP 88964,Oph
HIP 88972,316
HIP 89042,Pav
HIP 89112,Tel
HIP 89153,Sgr
HIP 89172,Her
HIP 89178,Sgr
HIP 89290,CrA
HIP 89341,Sgr
HIP 89348,Dra
HIP 89369,Sgr
HIP 89439,Sgr
HIP 89440,Sgr
HIP 89448,Dra
HIP 89470,Sgr
HIP 89474,
HIP 89527,Oph
HIP 89567,Sgr
HIP 89594,Dra
HIP 89601,Oph
HIP 89605,Tel
HIP 89637,Sgr
HIP 89642,Sgr
HIP 89773,Her
HIP 89808,
HIP 89826,Lyr
HIP 89844,398
HIP 89861,Her
HIP 89908,Dra
HIP 89918,Oph
HIP 89925,Her
HIP 89931,Sgr
HIP 89935,Her
HIP 89937,Dra
HIP 89955,CrA
HIP 89962,Ser
HIP 89968,Sgr
HIP 89977,Ser
HIP 89980,Sgr
HIP 90004,
HIP 90074,Sgr
HIP 90098,Pav
HIP 90133,Oct
HIP 90135,Sct
HIP 90139,Her
HIP 90156,Dra
HIP 90185,Sgr
HIP 90191,Lyr
HIP 90260,Sgr
HIP 90281,Sct
HIP 90289,Sgr
HIP 90304,Pav
HIP 90344,Dra
HIP 90422,Tel
HIP 90441,Ser
HIP 90496,Sgr
HIP 90568,Tel
HIP 90595,Sct
HIP 90610,Sgr
HIP 90642,Ser
HIP 90651,Sct
HIP 90790,
HIP 90797,Pav
HIP 90830,Tel
HIP 90836,Sgr
HIP 90844,Ser
HIP 90853,Tel
HIP 90858,Ser
HIP 90905,Dra
HIP 90913,Sct
HIP 90950,Sgr
HIP 90968,CrA
HIP 90969,CrA
HIP 90971,Oph
HIP 90982,CrA
HIP 91004,Sgr
HIP 91066,Sgr
HIP 91117,Sct
HIP 91132,Sgr
HIP 91135,Sgr
HIP 91142,Ser
HIP 91262,Lyr
HIP 91322,Ser
HIP 91373,Lyr
HIP 91438,
HIP 91494,CrA
HIP 91689,Sgr
HIP 91726,Sct
HIP 91728,Sct
HIP 91755,Dra
HIP 91781,Sgr
HIP 91792,Pav
HIP 91845,Sct
HIP 91852,
HIP 91875,CrA
HIP 91919,Lyr
HIP 91926,Lyr
HIP 91971,Lyr
HIP 91973,Lyr
HIP 91975,Aql
HIP 92036,Her
HIP 92037,
HIP 92041,Sgr
HIP 92043,Her
HIP 92079,Sgr
HIP 92111,Sgr
HIP 92112,Dra
HIP 92117,Aql
HIP 92133,Dra
HIP 92142,Sgr
HIP 92161,Her
HIP 92175,Sct
HIP 92202,Sct
HIP 92226,CrA
HIP 92235,Sgr
HIP 92294,Pav
HIP 92308,CrA
HIP 92382,CrA
HIP 92390,Sgr
HIP 92398,Lyr
HIP 92405,Lyr
HIP 92420,Lyr
HIP 92449,Her
HIP 92480,Sgr
HIP 92491,Sgr
HIP 92512,Dra
HIP 92524,Aql
HIP 92549,
HIP 92593,Her
HIP 92609,Pav
HIP 92614,Her
HIP 92646,Tel
HIP 92649,Sgr
HIP 92728,Lyr
HIP 92747,Sgr
HIP 92761,Sgr
HIP 92782,Dra
HIP 92791,Lyr
HIP 92818,Her
HIP 92824,Oct
HIP 92845,Sgr
HIP 92855,Sgr
HIP 92862,Lyr
HIP 92872,Ser
HIP 92895,
HIP 92934,Her
HIP 92946,Ser
HIP 92951,Ser
HIP 92989,CrA
HIP 92997,Dra
HIP 93015,Pav
HIP 93017,
HIP 93026,Sct
HIP 93051,Ser
HIP 93057,Sgr
HIP 93085,Sgr
HIP 93124,Aql
HIP 93148,Tel
HIP 93163,Pav
HIP 93174,CrA
HIP 93179,Aql
HIP 93185,
HIP 93187,Dra
HIP 93194,Lyr
HIP 93203,Aql
HIP 93244,Aql
HIP 93270,Vul
HIP 93272,Pav
HIP 93279,Lyr
HIP 93299,Dra
HIP 93340,Dra
HIP 93408,Lyr
HIP 93429,Aql
HIP 93502,Aql
HIP 93506,Sgr
HIP 93526,Aql
HIP 93542,CrA
HIP 93552,CrA
HIP 93603,Vul
HIP 93666,Aql
HIP 93683,Sgr
HIP 93713,Dra
HIP 93717,Aql
HIP 93732,Aql
HIP 93747,Aql
HIP 93805,Aql
HIP 93815,Tel
HIP 93825,CrA
HIP 93858,
HIP 93864,Sgr
HIP 93867,Aql
HIP 93887,Sgr
HIP 93903,Lyr
HIP 93917,Lyr
HIP 93966,
HIP 93996,Sgr
HIP 94005,CrA
HIP 94013,Cyg
HIP 94068,Aql
HIP 94083,Dra
HIP 94114,CrA
HIP 94140,Dra
HIP 94141,Sgr
HIP 94160,CrA
HIP 94302,Dra
HIP 94311,Lyr
HIP 94336,
HIP 94376,Dra
HIP 94377,Sge
HIP 94385,Aql
HIP 94477,Aql
HIP 94481,Lyr
HIP 94490,Dra
HIP 94620,Sge
HIP 94643,Sgr
HIP 94645,
HIP 94648,Dra
HIP 94685,Lyr
HIP 94703,Vul
HIP 94713,Lyr
HIP 94724,Pav
HIP 94727,Aql
HIP 94730,Sgr
HIP 94779,Cyg
HIP 94820,Sgr
HIP 94822,Vul
HIP 94827,Vul
HIP 94834,Aql
HIP 94885,Aql
HIP 94910,Sge
HIP 94913,Aql
HIP 94940,Sgr
HIP 94969,Vul
